Products,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,,
Products – Durable goods,350000,940000,1360000,3460000,6580000,7970000,9390000,9580000,9530000,9640000,9720000,9880000,10350000,10550000,10570000,,
Products – Nondurable goods,2390000,3730000,4670000,8800000,17560000,19770000,19190000,18830000,17180000,16250000,16820000,16190000,16820000,16290000,14190000,,
Products – Containers and Packaging – Glass Packaging – Beer and Soft Drink Bottles,90000,140000,730000,1890000,1530000,2000000,2350000,2270000,2290000,2240000,2110000,2230000,2100000,1880000,1840000,,
Products – Containers and Packaging – Glass Packaging – Wine and Liquor Bottles,10000,10000,20000,210000,430000,250000,540000,610000,620000,600000,590000,660000,670000,710000,720000,,
Products – Containers and Packaging – Glass Packaging – Other Bottles and Jars,0,0,0,520000,920000,340000,240000,300000,300000,310000,310000,300000,490000,480000,500000,,
Products – Containers and Packaging – Glass Packaging – Total,100000,150000,750000,2620000,2880000,2590000,3130000,3180000,3210000,3150000,3010000,3190000,3260000,3070000,3060000,,
Products – Containers and Packaging – Steel Packaging – Beer and Soft Drink Cans,10000,20000,50000,40000,0,0,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging – Steel Packaging – Cans,20000,60000,150000,590000,1530000,1340000,1540000,1270000,1310000,1320000,1300000,1240000,1210000,1050000,1120000,,
Products – Containers and Packaging – Steel Packaging – Other Steel Packaging,0,0,0,60000,160000,160000,350000,300000,300000,420000,410000,380000,340000,420000,510000,,
Products – Containers and Packaging – Steel Packaging – Total,30000,80000,200000,690000,1690000,1500000,1890000,1570000,1610000,1740000,1710000,1620000,1550000,1470000,1630000,,
Products – Containers and Packaging – Aluminum Packaging – Beer and Soft Drink Cans,0,10000,320000,990000,830000,650000,680000,720000,710000,700000,710000,670000,620000,600000,670000,,
Products – Containers and Packaging – Aluminum Packaging – Other Cans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging – Aluminum Packaging – Foil and closures,0,0,0,20000,30000,40000,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging—Aluminum Packaging – Total,0,10000,320000,1010000,860000,690000,680000,720000,710000,700000,710000,670000,620000,600000,670000,,
Products – Containers and Packaging – Paper & Paperboard Pkg – Corrugated Boxes,2520000,2760000,6390000,11530000,20330000,22100000,24690000,26800000,26810000,26590000,27280000,28930000,29150000,28780000,32090000,,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg-Gable Top/Aseptic Cartons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg- Folding Cartons,0,0,520000,340000,410000,1190000,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg- Other Paperboard Packaging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Bags and Sacks,0,0,0,200000,300000,320000,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Wrapping Papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Other Paper Packaging,220000,350000,300000,0,0,0,0,0,0,0,0,0,0,0,0,,
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,220000,350000,820000,540000,710000,1510000,2160000,1860000,2110000,2360000,2210000,2270000,1680000,1300000,1800000,,
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,2740000,3110000,7210000,12070000,21040000,23610000,26850000,28660000,28920000,28950000,29490000,31200000,30830000,30080000,33890000,,
Products – Containers and Packaging – Plastics Packaging – PET Bottles and Jars,0,0,10000,140000,380000,590000,780000,800000,860000,900000,910000,890000,880000,860000,910000,,
Products – Containers and Packaging – Plastics Packaging – HDPE Natural Bottles,0,0,0,20000,210000,230000,220000,220000,220000,220000,230000,230000,230000,240000,220000,,
Products – Containers and Packaging – Plastics Packaging – Other Containers,0,0,0,20000,170000,140000,300000,290000,310000,330000,360000,360000,350000,300000,310000,,
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",0,0,0,60000,180000,230000,450000,430000,440000,510000,500000,530000,520000,390000,420000,,
Products – Containers and Packaging – Plastics Packaging – Other Plastics Packaging,0,0,0,20000,90000,90000,100000,60000,70000,80000,120000,140000,150000,100000,120000,,
Products – Containers and Packaging – Plastics Packaging -- Total,0,0,10000,260000,1030000,1280000,1850000,1800000,1900000,2040000,2120000,2150000,2130000,1890000,1980000,,
Products – Containers and Packaging – Wood Packaging,0,0,0,130000,1370000,1830000,2280000,2350000,2410000,2470000,2570000,2660000,2980000,3030000,3100000,,
Products – Containers and Packaging – Other Miscellaneous Packaging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Products - Containers and Packaging - Total,2870000,3350000,8490000,16780000,28870000,31500000,36680000,38280000,38760000,39050000,39610000,41490000,41370000,40140000,44330000,,
Products - Wastes - Total,5610000,8020000,14520000,29040000,53010000,59240000,65260000,66690000,65470000,64940000,66150000,67560000,68540000,66980000,69090000,,
Other Wastes – Food Waste Composted,0,0,0,0,680000,690000,970000,1270000,1740000,1840000,1940000,2100000,2150000,2570000,2590000,,
Other Wastes – Yard Trimmings Composted,0,0,0,4200000,15770000,19860000,19200000,19300000,19590000,20600000,21080000,21290000,22960000,24420000,22300000,,
Other Wastes – Miscellaneous Inorganic Wastes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Other Wastes – Total Composted,0,0,0,4200000,16450000,20550000,20170000,20570000,21330000,22440000,23020000,23390000,25110000,26990000,24890000,,
Food - animal feed,,,,,,,,,,,,,,,1820000,,
Food - bio-based materials/biochemical processing,,,,,,,,,,,,,,,1840000,,
